Species1,Species2,Distance
5G1,5K13,0.04713805
5H1,5K13,0.04107744
5H2,5K13,0.03344557
5I1,5K13,0.05070458
5J1,5K13,0.06419753
5J2,5K13,0.05375982
5K1,5K13,0.02020202
5K10,5K13,0.02693603
5K11,5K13,0.03501684
5K12,5K13,0.00897868
5E1,5K14,0.04040404
5A1,5K14,0.04175084
5A2,5K14,0.05723906
5A3,5K14,0.05656566
5B1,5K14,0.04781145
5B2,5K14,0.04848485
5B3,5K14,0.05364759
5B4,5K14,0.04482924
5B5,5K14,0.05544332
5B6,5K14,0.05690236
5B7,5K14,0.05619835
5C1,5K14,0.0528676
5D1,5K14,0.04197531
5D2,5K14,0.05050505
5F1,5K14,0.05252525
5G1,5K14,0.04781145
5H1,5K14,0.04579125
5H2,5K14,0.03815937
5I1,5K14,0.05289936
5J1,5K14,0.07138047
5J2,5K14,0.05892256
5K1,5K14,0.02626263
5K10,5K14,0.03367003
5K11,5K14,0.04175084
5K12,5K14,0.01605529
5K13,5K14,0.01436588
5E1,5K15,0.03569024
5A1,5K15,0.03569024
5A2,5K15,0.04929293
5A3,5K15,0.04781145
5B1,5K15,0.03905724
5B2,5K15,0.04343434
5B3,5K15,0.04624018
5B4,5K15,0.03761424
5B5,5K15,0.05013094
5B6,5K15,0.05084175
5B7,5K15,0.05013774
5C1,5K15,0.04414308
5D1,5K15,0.0359147
5D2,5K15,0.04579125
5F1,5K15,0.04781145
5G1,5K15,0.04579125
5H1,5K15,0.04107744
5H2,5K15,0.03344557
5I1,5K15,0.04938272
5J1,5K15,0.06531987
5J2,5K15,0.05420875
5K1,5K15,0.02020202
5K10,5K15,0.02760943
5K11,5K15,0.03569024
5K12,5K15,0.00864788
5K13,5K15,0.00695847
5K14,5K15,0.01144781
5E1,5K16,0.03569024
5A1,5K16,0.03703704
5A2,5K16,0.05252525
5A3,5K16,0.05185185
5B1,5K16,0.04309764
5B2,5K16,0.04612795
5B3,5K16,0.04893378
5B4,5K16,0.04011544
5B5,5K16,0.05147774
5B6,5K16,0.05218855
5B7,5K16,0.05013774
5C1,5K16,0.04815589
5D1,5K16,0.03771044
5D2,5K16,0.04713805
5F1,5K16,0.04781145
5G1,5K16,0.04579125
5H1,5K16,0.04107744
5H2,5K16,0.03344557
5I1,5K16,0.04938272
5J1,5K16,0.06801347
5J2,5K16,0.05690236
5K1,5K16,0.02154882
5K10,5K16,0.02895623
5K11,5K16,0.03703704
5K12,5K16,0.01134149
5K13,5K16,0.00965208
5K14,5K16,0.00740741
5K15,5K16,0.00673401
5E1,5K17,0.03636364
5A1,5K17,0.03636364
5A2,5K17,0.05104377
5A3,5K17,0.04983165
5B1,5K17,0.03973064
5B2,5K17,0.04511785
5B3,5K17,0.04691358
5B4,5K17,0.03809524
5B5,5K17,0.05215114
5B6,5K17,0.05286195
5B7,5K17,0.05215794
5C1,5K17,0.04486747
5D1,5K17,0.03569024
5D2,5K17,0.04579125
5F1,5K17,0.04848485
5G1,5K17,0.04646465
5H1,5K17,0.04040404
5H2,5K17,0.03232323
5I1,5K17,0.05020576
5J1,5K17,0.06329966
5J2,5K17,0.05420875
5K1,5K17,0.01952862
5K10,5K17,0.02760943
5K11,5K17,0.03636364
5K12,5K17,0.00882509
5K13,5K17,0.01032548
5K14,5K17,0.01750842
5K15,5K17,0.01010101
5K16,5K17,0.01279461
5E1,5K18,0.04040404
5A1,5K18,0.04040404
5A2,5K18,0.05333333
5A3,5K18,0.05252525
5B1,5K18,0.04309764
5B2,5K18,0.04848485
5B3,5K18,0.04848485
5B4,5K18,0.04126984
5B5,5K18,0.0553685
5B6,5K18,0.05622896
5B7,5K18,0.05552495
5C1,5K18,0.04674748
5D1,5K18,0.03771044
5D2,5K18,0.04747475
5F1,5K18,0.04983165
5G1,5K18,0.04915825
5H1,5K18,0.04444444
5H2,5K18,0.03501684
5I1,5K18,0.05274972
5J1,5K18,0.06464646
5J2,5K18,0.05555556
5K1,5K18,0.02222222
5K10,5K18,0.03097643
5K11,5K18,0.03973064
5K12,5K18,0.01212121
5K13,5K18,0.01436588
5K14,5K18,0.02154882
5K15,5K18,0.01414141
5K16,5K18,0.01683502
5K17,5K18,0.01212121
5E1,5K19,0.05185185
5A1,5K19,0.04781145
5A2,5K19,0.06127946
5A3,5K19,0.05925926
5B1,5K19,0.05050505
5B2,5K19,0.05454545
5B3,5K19,0.05746352
5B4,5K19,0.05021645
5B5,5K19,0.06352413
5B6,5K19,0.06498316
5B7,5K19,0.06250383
5C1,5K19,0.05427177
5D1,5K19,0.04781145
5D2,5K19,0.05488215
5F1,5K19,0.06127946
5G1,5K19,0.05925926
5H1,5K19,0.05319865
5H2,5K19,0.04511785
5I1,5K19,0.06382342
5J1,5K19,0.07474747
5J2,5K19,0.06430976
5K1,5K19,0.03501684
5K10,5K19,0.03973064
5K11,5K19,0.04848485
5K12,5K19,0.02193869
5K13,5K19,0.02446689
5K14,5K19,0.03030303
5K15,5K19,0.02424242
5K16,5K19,0.02693603
5K17,5K19,0.02356902
5K18,5K19,0.02491582
5E1,5K2,0.03501684
5A1,5K2,0.03367003
5A2,5K2,0.04996633
5A3,5K2,0.05117845
5B1,5K2,0.04107744
5B2,5K2,0.04343434
5B3,5K2,0.04399551
5B4,5K2,0.03684464
5B5,5K2,0.04960718
5B6,5K2,0.05151515
5B7,5K2,0.05081114
5C1,5K2,0.04596998
5D1,5K2,0.03434343
5D2,5K2,0.04444444
5F1,5K2,0.04713805
5G1,5K2,0.04511785
5H1,5K2,0.03905724
5H2,5K2,0.02962963
5I1,5K2,0.04885896
5J1,5K2,0.06868687
5J2,5K2,0.06363636
5K1,5K2,0.02356902
5K10,5K2,0.03636364
5K11,5K2,0.04511785
5K12,5K2,0.02743222
5K13,5K2,0.02895623
5K14,5K2,0.03501684
5K15,5K2,0.02895623
5K16,5K2,0.03030303
5K17,5K2,0.02693603
5K18,5K2,0.02962963
5K19,5K2,0.04107744
5E1,5K20,0.03883277
5A1,5K20,0.03928171
5A2,5K20,0.05274972
5A3,5K20,0.05140292
5B1,5K20,0.04197531
5B2,5K20,0.04736251
5B3,5K20,0.04915825
5B4,5K20,0.04033991
5B5,5K20,0.05424617
5B6,5K20,0.05578002
5B7,5K20,0.05440261
5C1,5K20,0.04709657
5D1,5K20,0.0379349
5D2,5K20,0.04635241
5F1,5K20,0.05095398
5G1,5K20,0.04938272
5H1,5K20,0.04332211
5H2,5K20,0.0352413
5I1,5K20,0.05117845
5J1,5K20,0.06621773
5J2,5K20,0.05578002
5K1,5K20,0.02514029
5K10,5K20,0.0338945
5K11,5K20,0.04130191
5K12,5K20,0.0134562
5K13,5K20,0.01593715
5K14,5K20,0.02312009
5K15,5K20,0.01571268
5K16,5K20,0.01840629
5K17,5K20,0.01503928
5K18,5K20,0.01503928
5K19,5K20,0.02514029
5K2,5K20,0.0325477
5E1,5K21,0.04287318
5A1,5K21,0.04130191
5A2,5K21,0.05054994
5A3,5K21,0.04938272
5B1,5K21,0.04085297
5B2,5K21,0.04646465
5B3,5K21,0.0476618
5B4,5K21,0.03937791
5B5,5K21,0.05496945
5B6,5K21,0.05600449
5B7,5K21,0.0557086
5C1,5K21,0.0445906
5D1,5K21,0.03883277
5D2,5K21,0.04814815
5F1,5K21,0.05364759
5G1,5K21,0.05207632
5H1,5K21,0.04556678
5H2,5K21,0.03778526
5I1,5K21,0.05447063
5J1,5K21,0.06419753
5J2,5K21,0.05690236
5K1,5K21,0.02603816
5K10,5K21,0.03075196
5K11,5K21,0.03950617
5K12,5K21,0.01492114
5K13,5K21,0.01683502
5K14,5K21,0.02401796
5K15,5K21,0.01661055
5K16,5K21,0.01930415
5K17,5K21,0.01683502
5K18,5K21,0.01773288
5K19,5K21,0.02603816
5K2,5K21,0.03434343
5K20,5K21,0.01705948
5E1,5K22,0.04
5A1,5K22,0.03919192
5A2,5K22,0.05131313
5A3,5K22,0.05225589
5B1,5K22,0.0420202
5B2,5K22,0.04606061
5B3,5K22,0.04906846
5B4,5K22,0.04042328
5B5,5K22,0.05547325
5B6,5K22,0.05609428
5B7,5K22,0.05404346
5C1,5K22,0.0466043
5D1,5K22,0.03824916
5D2,5K22,0.04774411
5F1,5K22,0.05158249
5G1,5K22,0.04713805
5H1,5K22,0.04255892
5H2,5K22,0.03447811
5I1,5K22,0.05357276
5J1,5K22,0.06693603
5J2,5K22,0.05649832
5K1,5K22,0.02464646
5K10,5K22,0.03191919
5K11,5K22,0.0393266
5K12,5K22,0.01356725
5K13,5K22,0.01566779
5K14,5K22,0.0230303
5K15,5K22,0.0156229
5K16,5K22,0.0183165
5K17,5K22,0.01508418
5K18,5K22,0.01750842
5K19,5K22,0.02572391
5K2,5K22,0.03205387
5K20,5K22,0.01800224
5K21,5K22,0.01961841
5E1,5K23,0.04579125
5A1,5K23,0.04410774
5A2,5K23,0.05649832
5A3,5K23,0.05505051
5B1,5K23,0.0452862
5B2,5K23,0.0513468
5B3,5K23,0.05381594
5B4,5K23,0.046152
5B5,5K23,0.05987654
5B6,5K23,0.06111111
5B7,5K23,0.0587236
5C1,5K23,0.05139811
5D1,5K23,0.04444444
5D2,5K23,0.05420875
5F1,5K23,0.05656566
5G1,5K23,0.05286195
5H1,5K23,0.0479798
5H2,5K23,0.03989899
5I1,5K23,0.05929667
5J1,5K23,0.07087542
5J2,5K23,0.06111111
5K1,5K23,0.02996633
5K10,5K23,0.03602694
5K11,5K23,0.04276094
5K12,5K23,0.01818182
5K13,5K23,0.02076319
5K14,5K23,0.02794613
5K15,5K23,0.02053872
5K16,5K23,0.02323232
5K17,5K23,0.01986532
5K18,5K23,0.02255892
5K19,5K23,0.03030303
