"","country","NUM","Center","region","Percent"
"221","Malaysia",1,"Thailand","SEA",6.66666666666667
"222","Maldives",1,"Thailand","SouthAsia",6.66666666666667
"223","Myanmar",2,"Thailand","GMS-EastAsia",13.3333333333333
"224","Philippines",1,"Thailand","Philippines",6.66666666666667
"225","Singapore",1,"Thailand","SEA",6.66666666666667
"226","South_Korea",1,"Thailand","GMS-EastAsia",6.66666666666667
"227","Viet_Nam",1,"Thailand","GMS-EastAsia",6.66666666666667
"228","Australia",1,"Tonga","SEA",33.3333333333333
"229","Fiji",1,"Tonga","Oceania",33.3333333333333
"230","Micronesia",1,"Tonga","Oceania",33.3333333333333
"231","Grenada",1,"Trinidad_and_Tobago","America",100
"232","Argentina",2,"USA","America",25
"233","Barbados",1,"USA","America",12.5
"234","French_Polynesia",1,"USA","Oceania",12.5
"235","Grenada",1,"USA","America",12.5
"236","Japan",1,"USA","GMS-EastAsia",12.5
"237","Peru",1,"USA","America",12.5
"238","Puerto_Rico",1,"USA","America",12.5
"239","French_Polynesia",1,"Vanuatu","Oceania",50
"240","Japan",1,"Vanuatu","GMS-EastAsia",50
"241","Brazil",1,"Venezuela","America",20
"242","Ecuador",1,"Venezuela","America",20
"243","El_Salvador",1,"Venezuela","America",20
"244","Jamaica",1,"Venezuela","America",20
"245","Paraguay",1,"Venezuela","America",20
"246","Cambodia",3,"Viet_Nam","GMS-EastAsia",15
"247","China",3,"Viet_Nam","GMS-EastAsia",15
"248","Indonesia",2,"Viet_Nam","SEA",10
"249","Japan",2,"Viet_Nam","GMS-EastAsia",10
"250","Laos",3,"Viet_Nam","GMS-EastAsia",15
"251","Malaysia",1,"Viet_Nam","SEA",5
"252","Myanmar",1,"Viet_Nam","GMS-EastAsia",5
"253","Papua_New_Guinea",1,"Viet_Nam","Oceania",5
"254","Singapore",1,"Viet_Nam","SEA",5
"255","South_Korea",1,"Viet_Nam","GMS-EastAsia",5
"256","Sri_Lanka",1,"Viet_Nam","SouthAsia",5
"257","Thailand",1,"Viet_Nam","GMS-EastAsia",5
"258","Niue",1,"Wallis_and_Futuna","Oceania",100
