"","Subgenotype","LINE","BF","RATE"
"183","1B","Thailand%%%Myanmar",11.5563946913023,0.3925
"184","1D","Laos%%%Cambodia",425.417455244578,1.0307
"185","1D","Vietnam%%%Cambodia",19237.8371342143,1.3507
"186","1D","Vietnam%%%China",19237.8371342143,0.8963
"187","1D","Vietnam%%%Indonesia",84.1403758665486,0.5534
"188","1D","Vietnam%%%Thailand",12.0407784372357,0.5722
"189","1E","China%%%Cambodia",23756.42517756,1.4306
"190","1E","Vietnam%%%China",23756.42517756,1.2261
"191","1E","New_Caledonia%%%French_Polynesia",429.343393209071,0.9111
"192","1E","Vietnam%%%New_Caledonia",39.11622282703,0.3674
"193","1E","Vietnam%%%Singapore",23756.42517756,1.0332
"194","1E","Vietnam%%%Thailand",1394.95244310612,0.5828
"195","1F","China%%%Cambodia",28270.7367389917,1.428
"196","1F","Laos%%%Cambodia",23.6079819882885,0.6209
"197","1F","Papua_New_Guinea%%%Cambodia",20.4203719723067,0.6515
"198","1F","Singapore%%%Cambodia",6.94221570659224,0.6581
"199","1G","Myanmar%%%China",341.739172822579,0.6641
"200","1G","Thailand%%%China",13.7449715362574,0.7158
"201","1G","Thailand%%%Myanmar",1025.44539522189,1.0059
"202","1H","Papua_New_Guinea%%%Australia",27.5677945043045,0.6893
"203","1H","Myanmar%%%China",50810.939676644,3.0279
"204","1H","Vietnam%%%China",16933.2161189109,0.6201
"205","1H","Thailand%%%India",1233.78325068512,0.6759
"206","1H","Papua_New_Guinea%%%Laos",9.63292853160302,0.6609
"207","1H","Vietnam%%%Laos",50810.939676644,0.6519
"208","1H","Vietnam%%%Malaysia",21.1846385241096,0.67
"209","1H","Thailand%%%Maldives",6.48240336208902,0.6913
"210","1H","Sri_Lanka%%%Myanmar",7.49203014363608,0.6862
"211","1H","Vietnam%%%Papua_New_Guinea",10.1949214999602,0.669
"212","1H","Thailand%%%Singapore",228.532152647066,0.6703
"213","1H","Thailand%%%Sri_Lanka",50810.939676644,0.511
"214","1J","Indonesia%%%Australia",41798.9842963279,1.085
"215","1J","Laos%%%Cambodia",78.2993760066049,0.4867
"216","1J","Malaysia%%%China",15.472910292136,1.1504
"217","1J","Thailand%%%China",15.463233889115,1.1519
"218","1J","Vietnam%%%China",41798.9842963279,0.6592
"219","1J","Thailand%%%Indonesia",41798.9842963279,0.6358
"220","1J","Malaysia%%%Japan",100.920387168901,0.5538
"221","1J","Vietnam%%%Japan",8.61824094575804,0.6739
"222","1J","Vietnam%%%Laos",41798.9842963279,0.5724
"223","1J","Thailand%%%Malaysia",41798.9842963279,0.6586
"224","1J","Vietnam%%%Micronesia",6.00898865308907,0.6796
"225","1J","Vietnam%%%Singapore",13929.8985443883,0.5902
"226","1J","Vietnam%%%Thailand",5220.80924690171,0.6095
"227","1K","China%%%Australia",12.3679442094532,0.7954
"228","1K","Thailand%%%Cambodia",183.924283626923,0.9592
"229","1K","Singapore%%%China",6.88974410821683,0.7628
"230","1K","Thailand%%%China",25.4437186496772,0.8347
"231","1L","Indonesia%%%China",414.186095103574,1.0852
"232","1L","Malaysia%%%China",1128.74443436259,1.3901
"233","1L","Japan%%%Indonesia",111.586670185,0.3702
"234","1L","Singapore%%%Indonesia",13.5120387934933,0.737
"235","1L","Myanmar%%%Malaysia",28.0172549836046,0.4794
"236","1L","Singapore%%%Malaysia",23756.42517756,2.3752
"237","1L","Vietnam%%%Singapore",35.4358215299954,0.5004
"238","1M","Thailand%%%Australia",1477.86051420808,0.659
"239","1M","Indonesia%%%China",39.4174834297938,0.5615
"240","1M","Papua_New_Guinea%%%Indonesia",14.4916541324117,0.6021
"241","1M","Singapore%%%Indonesia",16.2739215566014,1.9377
"242","1M","Thailand%%%Indonesia",19237.8371342143,0.5748
"243","4A","Philippines%%%China",19237.8371342143,1.4004
"244","4A","Philippines%%%Nauru_Island",24.6590846460423,0.7046
"245","4A","Philippines%%%Palau",6.60393217793328,0.6277
"246","4A","Samoa%%%Philippines",11.4885069256829,0.6191
"247","4A","Thailand%%%Philippines",73.3133436060426,0.6163
"248","4A","USA.Hawaii%%%Samoa",64.4367693630543,1.1365
"249","4B","Indonesia%%%Australia",8.60738945376962,0.8025
"250","4B","Indonesia%%%China",65.5200779190467,0.8167
"251","4B","Vietnam%%%Indonesia",27.7708250649814,0.8222
"252","4C","Philippines%%%Angola",22.2133340074986,0.5463
"253","4C","Philippines%%%China",10176.8969813671,1.4144
"254","4C","Singapore%%%China",15.776256505448,1.0513
"255","4D","East_Timor%%%Australia",19.9950681639162,0.7185
"256","4D","Indonesia%%%East_Timor",46.5023949681769,0.9935
"257","4E","Indonesia%%%Australia",14712.7191197449,1.3137
"258","4E","Indonesia%%%China",97.7865633386819,0.7229
"259","4E","Myanmar%%%Indonesia",9.58046217070952,0.5895
"260","4E","Singapore%%%Indonesia",7355.54218658801,1.2961
"261","4F","Malaysia%%%China",7.31235186857816,0.9062
"262","4F","Malaysia%%%Indonesia",130.551943034967,1.3338
"263","4F","Reunion%%%Indonesia",6.72881031560886,0.6251
"264","4F","Seychelles%%%Madagascar",18.5062121883646,0.6884
"265","4G","Papua_New_Guinea%%%Australia",11.9896551592098,0.739
"266","4G","Micronesia%%%Marshall_Islands",7.60213595864469,0.8668
"267","4H","French_Polynesia%%%Cook_Islands",24.1654442851957,0.9979
"268","4H","Kiribati%%%Fiji",29.4408951182788,0.8332
"269","4H","New_Caledonia%%%Fiji",384.019472678547,1.4334
"270","4H","Niue%%%Fiji",132.27506457669,0.8785
"271","4H","New_Caledonia%%%French_Polynesia",51.3312664984264,0.8907
"272","4H","USA.Hawaii%%%French_Polynesia",17.9294800352412,0.5938
"273","4H","Malaysia%%%Indonesia",13.5060102834529,0.8702
"274","4H","Vanuatu%%%New_Caledonia",252.135940635991,0.7423
"275","4H","Wallis_and_Futuna%%%New_Caledonia",107.807581099616,0.7466
"276","5B","Singapore%%%Comoros",14.1728780222445,0.72
"277","5B","Malaysia%%%India",7.69171045121018,0.7074
"278","5B","Thailand%%%India",128.365216014896,0.7117
"279","5C","India%%%Australia",6.70211945235934,0.6836
"280","5C","Thailand%%%Australia",34.9854354093471,0.8839
"281","5C","China%%%Bhutan",17.6343803148339,0.7139
"282","5C","India%%%China",2567.66483928477,1.6255
"283","5C","Myanmar%%%China",53.0340699537386,0.5264
"284","5C","Singapore%%%China",46305.432924865,2.8196
"285","5C","Malaysia%%%India",25.0247095343541,0.6442
"286","5C","Singapore%%%Indonesia",161.439764749667,0.8061
"287","5C","Singapore%%%Malaysia",34.5724287179703,0.6737
"288","5K","Grenada%%%Angola",9.07530800671973,0.6976
"289","5K","Puerto_Rico%%%Aruba",19.9384166348991,0.9989
"290","5K","Grenada%%%Bahamas",11.1386753345395,0.7101
"291","5K","Jamaica%%%Bahamas",17.499398670304,0.905
"292","5K","Grenada%%%Brazil",22.5882835270935,0.9313
"293","5K","Grenada%%%Colombia",19.6989817531616,0.912
"294","5K","Puerto_Rico%%%Costa_Rica",17.2213270199493,0.7982
"295","5K","Puerto_Rico%%%French_Guiana",13.5415073911562,0.7473
"296","5K","Puerto_Rico%%%French_Polynesia",15.9152063145126,0.7865
"297","5K","Jamaica%%%Grenada",10.9493765786501,0.7454
"298","5K","Mexico%%%Grenada",76.6103350740906,0.8782
"299","5K","Puerto_Rico%%%Grenada",22.5132563620114,1.0223
"300","5K","Suriname%%%Grenada",17.411861258612,0.7206
"301","5K","Trinidad_and_Tobago%%%Grenada",1015.57412965537,1.2878
"302","5K","Pakistan%%%India",189.420380528602,1.062
"303","5K","Singapore%%%India",10.3886291769997,0.6489
"304","5K","USA%%%Puerto_Rico",18.3988410130312,0.7296
"305","5L","Brazil%%%Argentina",5621.67559534117,1.6077
