"","Label","Route","FROM","TO","BF","POSTERIOR","Subgenotype","BFlevel","FROM_lat","FROM_long","TO_lat","TO_long","Rate.mean","Rate.median"
"57","China.Singapore%%%1K","China.Singapore","China","Singapore",6.88974410821683,0.859015664926119,"1K","L1",23.13,113.939,1.28333333333333,103.833333333333,"0.9837",280
"58","China.Thailand%%%1K","China.Thailand","China","Thailand",25.4437186496772,0.957449172314187,"1K","L2",23.13,113.939,13.75,100.483333333333,"1.0558",282
"59","China.Indonesia%%%1L","China.Indonesia","China","Indonesia",414.186095103574,0.99366737029219,"1L","L4",23.13,113.939,-6.175,106.828333333333,"1.2178",304
"60","China.Malaysia%%%1L","China.Malaysia","China","Malaysia",1128.74443436259,0.997666925897123,"1L","L4",23.13,113.939,3.13333333333333,101.683333333333,"1.5446",305
"61","Indonesia.Japan%%%1L","Indonesia.Japan","Indonesia","Japan",111.586670185,0.976891456504833,"1L","L4",-6.175,106.828333333333,35.6833333333333,139.766666666666,"0.4831",284
"62","Indonesia.Singapore%%%1L","Indonesia.Singapore","Indonesia","Singapore",13.5120387934933,0.836573714031774,"1L","L2",-6.175,106.828333333333,1.28333333333333,103.833333333333,"0.8802",302
"63","Malaysia.Myanmar%%%1L","Malaysia.Myanmar","Malaysia","Myanmar",28.0172549836046,0.913898455727141,"1L","L2",3.13333333333333,101.683333333333,19.75,96.1,"0.6253",285
"64","Malaysia.Singapore%%%1L","Malaysia.Singapore","Malaysia","Singapore",23756.42517756,1,"1L","L5",3.13333333333333,101.683333333333,1.28333333333333,103.833333333333,"2.5683",306
"65","Singapore.Vietnam%%%1L","Singapore.Vietnam","Singapore","Vietnam",35.4358215299954,0.930674369514498,"1L","L3",1.28333333333333,103.833333333333,21.0333333333333,105.85,"0.6462",286
"66","Australia.Thailand%%%1M","Australia.Thailand","Australia","Thailand",1477.86051420808,0.998555716031552,"1M","L4",-18.188,143.262,13.75,100.483333333333,"0.9621",314
"67","China.Indonesia%%%1M","China.Indonesia","China","Indonesia",39.4174834297938,0.948561270969892,"1M","L3",23.13,113.939,-6.175,106.828333333333,"0.7271",307
"68","Indonesia.Papua_New_Guinea%%%1M","Indonesia.Papua_New_Guinea","Indonesia","Papua_New_Guinea",14.4916541324117,0.871458726808132,"1M","L2",-6.175,106.828333333333,-9.5,147.116666666666,"0.7654",310
"69","Indonesia.Singapore%%%1M","Indonesia.Singapore","Indonesia","Singapore",16.2739215566014,0.883901788690146,"1M","L2",-6.175,106.828333333333,1.28333333333333,103.833333333333,"2.1574",319
"70","Indonesia.Thailand%%%1M","Indonesia.Thailand","Indonesia","Thailand",19237.8371342143,1,"1M","L5",-6.175,106.828333333333,13.75,100.483333333333,"0.7395",309
"71","China.Philippines%%%4A","China.Philippines","China","Philippines",19237.8371342143,0.999888901233196,"4A","L5",23.13,113.939,14.5833333333333,120.966666666666,"1.6241",333
"72","Nauru_Island.Philippines%%%4A","Nauru_Island.Philippines","Nauru_Island","Philippines",24.6590846460423,0.920231085434952,"4A","L2",-0.533333333333333,166.916666666666,14.5833333333333,120.966666666666,"0.8993",331
"73","Palau.Philippines%%%4A","Palau.Philippines","Palau","Philippines",6.60393217793328,0.755471614265082,"4A","L1",7.5,134.616666666666,14.5833333333333,120.966666666666,"0.8335",321
"74","Philippines.Samoa%%%4A","Philippines.Samoa","Philippines","Samoa",11.4885069256829,0.843128541273192,"4A","L2",14.5833333333333,120.966666666666,-13.8333333333333,188.25,"0.8166",320
"75","Philippines.Thailand%%%4A","Philippines.Thailand","Philippines","Thailand",73.3133436060426,0.971669814465059,"4A","L3",14.5833333333333,120.966666666666,13.75,100.483333333333,"0.8007",39
